metric,backbone,exclusion_set,value,baseline_value,pct_shift_from_baseline,sign_flip
cognate_active_rate,of3,E1+E2,0.7989778534923339,0.7991489361702128,-0.0214081093192457,False
tilt_active_rate,of3,E1+E2,0.6072482090181205,0.6075789473684211,-0.0544354526655557,False
median_tilt_shift,protenix,E1+E2,5.278610990748296,5.307282224462718,-0.540224403033773,False
fraction_of_way_to_active,protenix,E1+E2,0.9201264714510232,0.9201264714510232,0.0,False
apo_active_rate,protenix,E1+E2,0.1451209341117598,0.145,0.0834028356964226,False
cognate_active_rate,protenix,E1+E2,0.8895652173913043,0.8706382978723404,2.1739130434782665,False
tilt_active_rate,protenix,E1+E2,0.5636441038739889,0.5671578947368421,-0.6195436747792381,False
median_tilt_shift,boltz,E4,5.086485515801599,5.036307399878147,0.9963275062333578,False
fraction_of_way_to_active,boltz,E4,0.9514727554556592,0.9471950017465284,0.4516233406260611,False
apo_active_rate,boltz,E4,0.1226130653266331,0.1598326359832636,-23.2865900181536,False
cognate_active_rate,boltz,E4,0.812,0.8341880341880342,-2.659836065573768,False
tilt_active_rate,boltz,E4,0.568922305764411,0.5784355179704017,-1.644645238828064,False
median_tilt_shift,chai,E4,2.045465692309694,1.047307481027726,95.3070831025166,False
fraction_of_way_to_active,chai,E4,0.898122879909123,0.8841178702979391,1.5840658900452202,False
apo_active_rate,chai,E4,0.288,0.3266666666666666,-11.836734693877556,False
cognate_active_rate,chai,E4,0.739,0.7497872340425532,-1.4387060158910363,False
tilt_active_rate,chai,E4,0.585,0.5962105263157895,-1.8802966101695056,False
median_tilt_shift,of3,E4,4.921866924216855,4.814160360618894,2.237286578133724,False
fraction_of_way_to_active,of3,E4,0.9368591357562344,0.9339782025693488,0.3084582893862156,False
apo_active_rate,of3,E4,0.1,0.2416666666666666,-58.62068965517241,False
cognate_active_rate,of3,E4,0.764,0.7991489361702128,-4.398296059637911,False
tilt_active_rate,of3,E4,0.539,0.6075789473684211,-11.287248787248789,False
median_tilt_shift,protenix,E4,5.3183491978579935,5.307282224462718,0.2085243054206774,False
fraction_of_way_to_active,protenix,E4,0.9227796039075492,0.9201264714510232,0.288344324269049,False
apo_active_rate,protenix,E4,0.069,0.145,-52.41379310344827,False
cognate_active_rate,protenix,E4,0.848,0.8706382978723404,-2.6001955034213067,False
tilt_active_rate,protenix,E4,0.5335,0.5671578947368421,-5.934484038604307,False
median_tilt_shift,boltz,E1+E2+E4,5.086485515801599,5.036307399878147,0.9963275062333578,False
fraction_of_way_to_active,boltz,E1+E2+E4,0.9514727554556592,0.9471950017465284,0.4516233406260611,False
apo_active_rate,boltz,E1+E2+E4,0.1226130653266331,0.1598326359832636,-23.2865900181536,False
cognate_active_rate,boltz,E1+E2+E4,0.812,0.8341880341880342,-2.659836065573768,False
tilt_active_rate,boltz,E1+E2+E4,0.568922305764411,0.5784355179704017,-1.644645238828064,False
median_tilt_shift,chai,E1+E2+E4,2.0347199433399155,1.047307481027726,94.28104737142128,False
fraction_of_way_to_active,chai,E1+E2+E4,0.898122879909123,0.8841178702979391,1.5840658900452202,False
apo_active_rate,chai,E1+E2+E4,0.2872872872872873,0.3266666666666666,-12.054912054912046,False
cognate_active_rate,chai,E1+E2+E4,0.739,0.7497872340425532,-1.4387060158910363,False
tilt_active_rate,chai,E1+E2+E4,0.5847923961980991,0.5962105263157895,-1.915117163101327,False
median_tilt_shift,of3,E1+E2+E4,4.921866924216855,4.814160360618894,2.237286578133724,False
fraction_of_way_to_active,of3,E1+E2+E4,0.9368591357562344,0.9339782025693488,0.3084582893862156,False
apo_active_rate,of3,E1+E2+E4,0.0990990990990991,0.2416666666666666,-58.99347623485554,False
cognate_active_rate,of3,E1+E2+E4,0.7637637637637638,0.7991489361702128,-4.427857037015717,False
