draw_id,backbone,frame,contrast,scale,term_estimate
27,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,0.7290514424532188
28,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.35200000000000004
28,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.2493333333333333
28,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.10999999999999999
28,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,1.5640511959069046
28,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.2229456134429717
28,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,1.0426536350200648
29,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.3977777777777778
29,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.2944444444444444
29,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.050555555555555576
29,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,1.9887541434039402
29,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.4347677055942845
29,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,0.4054854591638761
30,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.4114285714285715
30,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.3377142857142857
30,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.1605714285714286
30,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,3.0765065566919447
30,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.506958128854891
30,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,1.5617870668182225
31,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.5085714285714286
31,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.29714285714285715
31,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.06628571428571428
31,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,3.1104452035561754
31,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.562524159292696
31,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,0.7156961507357549
32,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.4005555555555556
32,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.29999999999999993
32,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.11222222222222222
32,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,2.1399234008484473
32,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.4086220873767596
32,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,1.0188060407830108
33,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.41842105263157897
33,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.36842105263157887
33,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.04789473684210532
33,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,2.30976645240271
33,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.954824308569324
33,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,0.5711645391582483
34,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.23243243243243242
34,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.30000000000000004
34,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.10108108108108105
34,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,1.2193792071410634
34,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.248887695964388
34,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,0.5354825822877123
35,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.39272727272727276
35,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.24727272727272726
35,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.12727272727272732
35,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,2.1638403882886212
35,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.0757891912319049
35,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,0.8332113405817585
36,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.30190476190476184
36,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.27095238095238106
36,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.10761904761904761
36,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,1.3804269369304187
36,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.2277411827543228
36,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,0.7970108192291006
37,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.41942857142857143
37,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.4114285714285715
37,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.006857142857142784
37,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,2.9433922831655246
37,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,2.0882410956316853
37,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,0.06390200638783661
38,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.39951219512195124
38,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.3463414634146341
38,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.029268292682926855
38,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,2.0923751347565154
38,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.7691322528513935
38,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,0.27166721024142926
39,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.40476190476190477
39,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.3023809523809524
39,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.11285714285714277
39,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,2.2062145497715457
39,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.4159911081398515
39,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,1.0211628533110289
40,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.3781818181818182
40,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.23757575757575755
40,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.018787878787878798
40,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,1.6337662356731029
40,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.301003680085171
40,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,0.1618859091137943
41,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.36864864864864866
41,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.24648648648648652
41,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.17405405405405405
41,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,2.177366558294305
41,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.0349752853759273
41,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,1.0970702683162945
42,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.40375
42,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.30562500000000004
42,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.13
42,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,2.1615432621435127
42,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.4503095085497189
42,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,1.3852023568459988
43,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.46352941176470586
43,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.2688235294117647
43,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.13117647058823534
