frame,predicate,cutoff_A,arm,backbone,n,n_engaged,p_engaged,p_engaged_lo95,p_engaged_hi95,p_active_given_engaged,p_agv_lo95,p_agv_hi95,n_engaged_but_inactive
frame_40,tilt_only,16.0,apo,panel_all,8000,0,0.0,0.0,0.0,,,,0
frame_40,tilt_only,16.0,apo,boltz,2000,0,0.0,0.0,0.0,,,,0
frame_40,tilt_only,16.0,apo,chai,2000,0,0.0,0.0,0.0,,,,0
frame_40,tilt_only,16.0,apo,of3,2000,0,0.0,0.0,0.0,,,,0
frame_40,tilt_only,16.0,apo,protenix,2000,0,0.0,0.0,0.0,,,,0
frame_40,tilt_only,16.0,cognate,panel_all,8000,7946,0.99325,0.9848836517165006,0.999625,0.9496602063931537,0.9112043867290016,0.9809487147943653,400
frame_40,tilt_only,16.0,cognate,boltz,2000,1993,0.9965,0.988320652173913,1.0,0.9954841946813848,0.9903421907781617,1.0,9
frame_40,tilt_only,16.0,cognate,chai,2000,1977,0.9885,0.964,1.0,0.829033889731917,0.677366526894873,0.9415365525097642,338
frame_40,tilt_only,16.0,cognate,of3,2000,1976,0.988,0.9729941489361702,1.0,0.9731781376518218,0.9387411267786594,0.9970396684428656,53
frame_40,tilt_only,16.0,cognate,protenix,2000,2000,1.0,1.0,1.0,1.0,1.0,1.0,0
frame_40,tilt_only,16.0,shuffled,panel_all,8000,7328,0.916,0.870365625,0.9554217854217855,0.9129366812227074,0.8622130607797873,0.950924691073415,638
frame_40,tilt_only,16.0,shuffled,boltz,2000,1835,0.9175,0.8512794117647059,0.9711138211382114,0.9455040871934605,0.8678989095685454,0.9905082049022023,100
frame_40,tilt_only,16.0,shuffled,chai,2000,1675,0.8375,0.7123477443609022,0.9391702127659575,0.8274626865671642,0.6839393695090612,0.9320412005691794,289
frame_40,tilt_only,16.0,shuffled,of3,2000,1853,0.9265,0.8689923913043478,0.9714303571428571,0.9028602266594711,0.8429387520689389,0.9574653041467797,180
frame_40,tilt_only,16.0,shuffled,protenix,2000,1965,0.9825,0.9556084010840108,0.9993562618595826,0.9648854961832061,0.9141946158569512,0.9974339170047244,69
frame_40,tilt_only,16.0,decoy,panel_all,8000,4677,0.584625,0.47470248917748914,0.6926266826923078,0.7671584348941629,0.6673688824158964,0.8403146173077566,1089
frame_40,tilt_only,16.0,decoy,boltz,2000,953,0.4765,0.3567033591731266,0.6097785749628897,0.7334732423924449,0.5575549787626262,0.8580556144182913,254
frame_40,tilt_only,16.0,decoy,chai,2000,1419,0.7095,0.5663267676767677,0.8294800853485065,0.740662438336857,0.5379561720827434,0.88734871634465,368
