frame,backbone,contrast,scale,term_estimate,term_share,total_apo_to_cognate,ci_lo,ci_hi
reproduction_36,protenix,delta_a5ct_sequence_decoy_to_shuffled,probability,0.29833333333333334,0.33066502463054187,0.9022222222222223,0.18340737327188936,0.4316718750000001
reproduction_36,protenix,delta_correct_family_shuffled_to_cognate,probability,0.02388888888888896,0.02647783251231535,0.9022222222222223,-0.0015811403508771552,0.06743035714285721
reproduction_36,protenix,delta_occupancy_apo_to_decoy,logit,3.187738432254276,0.5157901244774682,6.180301407444898,2.265478453771775,8.701991488724692
reproduction_36,protenix,delta_a5ct_sequence_decoy_to_shuffled,logit,2.318065671145885,0.37507323968916834,6.180301407444898,1.449361101889104,4.909207686428598
reproduction_36,protenix,delta_correct_family_shuffled_to_cognate,logit,0.6744973040447375,0.10913663583336346,6.180301407444898,-0.04715107568599135,5.148355721308748
reproduction_36,panel,delta_occupancy_apo_to_decoy,probability,0.3999999999999999,0.5455578708088652,0.7331944444444444,0.32834779411764703,0.4636849624060149
reproduction_36,panel,delta_a5ct_sequence_decoy_to_shuffled,probability,0.2515277777777778,0.3430573972343247,0.7331944444444444,0.18809240430622015,0.32101891891891887
reproduction_36,panel,delta_correct_family_shuffled_to_cognate,probability,0.08166666666666667,0.11138473195681,0.7331944444444444,0.04741006493506499,0.12452777777777772
reproduction_36,panel,delta_occupancy_apo_to_decoy,logit,1.9065227193983836,0.5049117137847268,3.775952641517137,1.5226803265935285,2.4039148143588482
reproduction_36,panel,delta_a5ct_sequence_decoy_to_shuffled,logit,1.2136931519520757,0.3214270058917971,3.775952641517137,0.9667355518696488,1.4887781883094648
reproduction_36,panel,delta_correct_family_shuffled_to_cognate,logit,0.6557367701666776,0.1736612803234761,3.775952641517137,0.3886993340390246,1.0936640070517345
