backbone,axis,sigma_err,var_ref,var_err,slope_ols,slope_corrected,unstable
chai,npxxy,1.7000000000000002,27.27187972438473,2.8900000000000006,0.36598313496415036,0.40936335306064847,False
chai,npxxy,1.8,27.27187972438473,3.24,0.36598313496415036,0.4153253158872952,False
chai,npxxy,1.9000000000000001,27.27187972438473,3.6100000000000003,0.36598313496415036,0.4218197435772447,False
chai,npxxy,2.0,27.27187972438473,4.0,0.36598313496415036,0.4288887771896327,False
of3,tilt,0.0,1.3703249111057265,0.0,0.23257695712787163,0.23257695712787166,False
of3,tilt,0.1,1.3703249111057265,0.010000000000000002,0.23257695712787163,0.23428667335249642,False
of3,tilt,0.2,1.3703249111057265,0.04000000000000001,0.23257695712787163,0.23957004446123778,False
of3,tilt,0.30000000000000004,1.3703249111057265,0.09000000000000002,0.23257695712787163,0.24892587446904174,False
of3,tilt,0.4,1.3703249111057265,0.16000000000000003,0.23257695712787163,0.2633226790402325,False
of3,tilt,0.5,1.3703249111057265,0.25,0.23257695712787163,0.284476400499689,False
of3,tilt,0.6000000000000001,1.3703249111057265,0.3600000000000001,0.23257695712787163,0.315449015062581,False
of3,tilt,0.7000000000000001,1.3703249111057265,0.4900000000000001,0.23257695712787163,0.36203223841658927,False
of3,tilt,0.8,1.3703249111057265,0.6400000000000001,0.23257695712787163,0.43638932926300417,False
of3,tilt,0.9,1.3703249111057265,0.81,0.23257695712787163,0.5687878439539076,False
of3,tilt,1.0,1.3703249111057265,1.0,0.23257695712787163,0.860611826382108,True
of3,tilt,1.1,1.3703249111057265,1.2100000000000002,0.23257695712787163,1.9878757200203296,True
of3,tilt,1.2000000000000002,1.3703249111057265,1.4400000000000004,0.23257695712787163,,True
of3,tilt,1.3,1.3703249111057265,1.6900000000000002,0.23257695712787163,,True
of3,tilt,1.4000000000000001,1.3703249111057265,1.9600000000000004,0.23257695712787163,,True
of3,tilt,1.5,1.3703249111057265,2.25,0.23257695712787163,,True
of3,tilt,1.6,1.3703249111057265,2.5600000000000005,0.23257695712787163,,True
of3,tilt,1.7000000000000002,1.3703249111057265,2.8900000000000006,0.23257695712787163,,True
of3,tilt,1.8,1.3703249111057265,3.24,0.23257695712787163,,True
of3,tilt,1.9000000000000001,1.3703249111057265,3.6100000000000003,0.23257695712787163,,True
of3,tilt,2.0,1.3703249111057265,4.0,0.23257695712787163,,True
of3,npxxy,0.0,27.27187972438473,0.0,0.17560110783703026,0.17560110783703026,False
of3,npxxy,0.1,27.27187972438473,0.010000000000000002,0.17560110783703026,0.17566552052962975,False
of3,npxxy,0.2,27.27187972438473,0.04000000000000001,0.17560110783703026,0.1758590424483965,False
of3,npxxy,0.30000000000000004,27.27187972438473,0.09000000000000002,0.17560110783703026,0.1761825282489216,False
of3,npxxy,0.4,27.27187972438473,0.16000000000000003,0.17560110783703026,0.17663741286418244,False
of3,npxxy,0.5,27.27187972438473,0.25,0.17560110783703026,0.1772257274936577,False
of3,npxxy,0.6000000000000001,27.27187972438473,0.3600000000000001,0.17560110783703026,0.17795012245320554,False
of3,npxxy,0.7000000000000001,27.27187972438473,0.4900000000000001,0.17560110783703026,0.17881389736956638,False
of3,npxxy,0.8,27.27187972438473,0.6400000000000001,0.17560110783703026,0.1798210393694184,False
of3,npxxy,0.9,27.27187972438473,0.81,0.17560110783703026,0.18097627010174733,False
of3,npxxy,1.0,27.27187972438473,1.0,0.17560110783703026,0.18228510265122863,False
